clean_name,serial_num,clean_date,coast_name,lat,lng,coast_length,collect_bag,collect_val,trash_type,clean_status
이영희,20171201145445053,2017/12/01 14:55:41,일광면 동백리4,35.2837 ,129.2589 ,65 ,1 ,50 ,2 ,1
이영희,20171201150110545,2017/12/01 15:02:33,일광면 동백리5,35.2834 ,129.2597 ,58 ,12 ,600 ,2 ,1
홍길동,20171201151248927,2017/12/01 15:14:10,학리마을10,35.2591 ,129.2450 ,35 ,10 ,500 ,1 ,1
김철수,20171201151252406,2017/12/01 15:15:02,이동항어촌계,35.2720 ,129.2492 ,66 ,15 ,750 ,1 ,1
최동욱,20171201151056139,2017/12/01 15:17:35,오랑대1,35.2063 ,129.2267 ,88 ,1 ,50 ,1 ,1
이영희,20171201151732910,2017/12/01 15:19:35,일광면 동백리6,35.2826 ,129.2582 ,89 ,9 ,450 ,2 ,1
강지영,20171201151308162,2017/12/01 15:21:19,연화리1,35.2063 ,129.2267 ,45 ,6 ,300 ,4 ,1
최동욱,20171201151928803,2017/12/01 15:22:13,오랑대2,35.2059 ,129.2272 ,88 ,6 ,300 ,4 ,1
홍길동,20171201152102403,2017/12/01 15:23:27,학리마을11,35.2582 ,129.2451 ,20 ,15 ,750 ,3 ,1
김철수,20171201152230138,2017/12/01 15:26:07,일광로1,35.2721 ,129.2502 ,45 ,4 ,200 ,2 ,1
정수진,20171201152743620,2017/12/01 15:28:54,죽성1,35.2387 ,129.2462 ,94 ,4 ,200 ,2 ,1
이영희,20171201152648474,2017/12/01 15:29:04,일광면 동백리7,35.2812 ,129.2546 ,21 ,15 ,750 ,2 ,1
최동욱,20171201152338247,2017/12/01 15:29:07,오랑대3,35.2056 ,129.2276 ,93 ,8 ,400 ,4 ,1
강지영,20171201152146910,2017/12/01 15:32:08,연화리2,35.2072 ,129.2259 ,92 ,5 ,250 ,2 ,1
윤서연,20171201152139890,2017/12/01 15:33:19,수과원1,35.1954 ,129.2246 ,61 ,4 ,200 ,4 ,1
정수진,20171201153104642,2017/12/01 15:34:29,죽성2,35.2398 ,129.2472 ,58 ,6 ,300 ,2 ,1
이영희,20171201153359581,2017/12/01 15:35:16,일광면 동백리8,35.2776 ,129.2551 ,86 ,15 ,750 ,2 ,1
김철수,20171201153135405,2017/12/01 15:36:48,일광로2,35.2717 ,129.2511 ,53 ,15 ,750 ,5 ,1
정수진,20171201153743082,2017/12/01 15:38:00,죽성15,35.2387 ,129.2462 ,24 ,11 ,550 ,2 ,1
최동욱,20171201153053816,2017/12/01 15:38:03,오랑대4,35.2054 ,129.2281 ,88 ,1 ,50 ,2 ,1
윤서연,20171201153444415,2017/12/01 15:40:18,수과원2,35.1949 ,129.2246 ,76 ,10 ,500 ,2 ,1
윤서연,20171201154203135,2017/12/01 15:47:40,수과원3,35.1944 ,129.2246 ,68 ,7 ,350 ,2 ,1
최동욱,20171201153958800,2017/12/01 15:48:35,오랑대5,35.2037 ,129.2300 ,35 ,5 ,250 ,4 ,1
강지영,20171201154235224,2017/12/01 15:51:43,연화리3,35.2080 ,129.2247 ,39 ,15 ,750 ,2 ,1
최동욱,20171201155317415,2017/12/01 15:57:36,프리미엄콘도1,35.2018 ,129.2292 ,77 ,9 ,450 ,2 ,1
정수진,20171201155631978,2017/12/01 16:01:49,죽성3,35.2357 ,129.2430 ,63 ,10 ,500 ,2 ,1
박민수,20171201155550311,2017/12/01 16:01:59,수과원4,35.1940 ,129.2247 ,78 ,13 ,650 ,2 ,1
최동욱,20171201155818636,2017/12/01 16:02:08,프리미엄콘도2,35.2012 ,129.2298 ,91 ,3 ,150 ,2 ,1
이영희,20171201160159376,2017/12/01 16:03:38,일광면 이천리1,35.2742 ,129.2547 ,90 ,10 ,500 ,2 ,1
최동욱,20171201160300092,2017/12/01 16:08:25,프리미엄콘도3,35.2010 ,129.2301 ,88 ,6 ,300 ,2 ,1
정수진,20171201160245200,2017/12/01 16:08:33,죽성4,35.2353 ,129.2435 ,27 ,1 ,50 ,4 ,1
김철수,20171201160547402,2017/12/01 16:08:57,일광로3,35.2721 ,129.2535 ,56 ,8 ,400 ,1 ,1
강지영,20171201161057281,2017/12/01 16:11:51,연화리4,35.2099 ,129.2230 ,46 ,12 ,600 ,1 ,1
최동욱,20171201160910109,2017/12/01 16:13:09,프리미엄콘도4,35.1980 ,129.2292 ,32 ,13 ,650 ,2 ,1
정수진,20171201160921777,2017/12/01 16:14:20,죽성5,35.2383 ,129.2440 ,66 ,14 ,700 ,4 ,1
박민수,20171201161229493,2017/12/01 16:17:08,수과원5,35.1935 ,129.2250 ,45 ,2 ,100 ,1 ,1
최동욱,20171201161400597,2017/12/01 16:17:35,프리미엄콘도5,35.1976 ,129.2287 ,44 ,11 ,550 ,2 ,1
이영희,20171201161637081,2017/12/01 16:20:04,일광면 이천리2,35.2730 ,129.2535 ,29 ,6 ,300 ,2 ,1
정수진,20171201161452545,2017/12/01 16:20:05,죽성6,35.2344 ,129.2440 ,52 ,3 ,150 ,5 ,1
강지영,20171201161922113,2017/12/01 16:20:56,연화리5,35.2105 ,129.2230 ,40 ,10 ,500 ,2 ,1
박민수,20171201161727796,2017/12/01 16:21:46,수과원6,35.1928 ,129.2250 ,65 ,8 ,400 ,2 ,1
정수진,20171201162033156,2017/12/01 16:26:12,죽성7,35.2338 ,129.2447 ,43 ,12 ,600 ,5 ,1
최동욱,20171201162258735,2017/12/01 16:27:21,동암항1,35.1962 ,129.2283 ,68 ,2 ,100 ,2 ,1
정수진,20171201162636995,2017/12/01 16:30:52,죽성8,35.2330 ,129.2447 ,99 ,12 ,600 ,1 ,1
강지영,20171201162907036,2017/12/01 16:31:18,연화리6,35.2112 ,129.2228 ,64 ,4 ,200 ,2 ,1
최동욱,20171201163015021,2017/12/01 16:34:56,동암항2,35.1962 ,129.2257 ,28 ,10 ,500 ,1 ,1
정수진,20171201163120100,2017/12/01 16:35:18,죽성9,35.2325 ,129.2444 ,36 ,14 ,700 ,4 ,1
강지영,20171201163841133,2017/12/01 16:40:33,연화리7,35.2125 ,129.2219 ,94 ,6 ,300 ,1 ,1
정수진,20171201163752866,2017/12/01 16:40:58,죽성10,35.2321 ,129.2440 ,58 ,6 ,300 ,4 ,1
정수진,20171201164711207,2017/12/01 16:51:22,죽성11,35.2307 ,129.2445 ,34 ,3 ,150 ,1 ,1
정수진,20171201165220478,2017/12/01 16:53:18,죽성12,35.2304 ,129.2430 ,55 ,3 ,150 ,1 ,1
정수진,20171201165619876,2017/12/01 16:59:51,죽성13,35.2304 ,129.2429 ,42 ,8 ,400 ,1 ,1
정수진,20171201170031208,2017/12/01 17:03:47,죽성14,35.2301 ,129.2424 ,90 ,4 ,200 ,1 ,1
박민수,20171201170018852,2017/12/01 17:04:15,시랑4,35.1874 ,129.2170 ,41 ,8 ,400 ,2 ,1
윤서연,20171201170037300,2017/12/01 17:07:34,시랑3,35.1867 ,129.2156 ,42 ,5 ,250 ,1 ,1
윤서연,20171201170748367,2017/12/01 17:12:37,시랑2,35.1860 ,129.2136 ,66 ,15 ,750 ,1 ,1
윤서연,20171201171256327,2017/12/01 17:17:12,시랑1,35.1845 ,129.2135 ,86 ,9 ,450 ,1 ,1
